==========================================================
     YouTube 专用优选网速排名（第一行最适合看视频）
==========================================================

NO.1 | 流媒体网速: 28.41 MB/s | IP地址: 167.148.203.71:443 | 地区: HK
NO.5965 | 流媒体网速: 1.06 MB/s | IP地址: 109.169.76.23:443 | 地区: GB
NO.5966 | 流媒体网速: 1.06 MB/s | IP地址: 23.82.96.105:443 | 地区: US
NO.5967 | 流媒体网速: 1.06 MB/s | IP地址: 178.128.38.173:443 | 地区: GB
NO.5968 | 流媒体网速: 1.06 MB/s | IP地址: 107.150.20.112:8443 | 地区: IE
NO.5969 | 流媒体网速: 1.06 MB/s | IP地址: 212.34.153.65:443 | 地区: NL
NO.5970 | 流媒体网速: 1.05 MB/s | IP地址: 5.188.21.38:443 | 地区: EE
NO.5971 | 流媒体网速: 1.05 MB/s | IP地址: 156.246.93.242:443 | 地区: JP
NO.5972 | 流媒体网速: 1.05 MB/s | IP地址: 217.60.39.39:2053 | 地区: FR
NO.5973 | 流媒体网速: 1.05 MB/s | IP地址: 217.28.49.84:8443 | 地区: LV
NO.5974 | 流媒体网速: 1.05 MB/s | IP地址: 212.111.89.16:443 | 地区: NL
NO.5975 | 流媒体网速: 1.05 MB/s | IP地址: 168.119.236.69:443 | 地区: DE
NO.5976 | 流媒体网速: 1.05 MB/s | IP地址: 195.66.24.141:2083 | 地区: DE
NO.5977 | 流媒体网速: 1.05 MB/s | IP地址: 213.155.14.221:2053 | 地区: NL
NO.5978 | 流媒体网速: 1.04 MB/s | IP地址: 46.29.234.91:8443 | 地区: LT
NO.5979 | 流媒体网速: 1.04 MB/s | IP地址: 54.150.43.75:443 | 地区: JP
NO.5980 | 流媒体网速: 1.04 MB/s | IP地址: 185.194.140.31:443 | 地区: DE
NO.5981 | 流媒体网速: 1.04 MB/s | IP地址: 185.80.128.24:8443 | 地区: LT
NO.5982 | 流媒体网速: 1.04 MB/s | IP地址: 104.238.129.180:443 | 地区: US
NO.5983 | 流媒体网速: 1.04 MB/s | IP地址: 146.185.178.18:443 | 地区: NL
NO.5984 | 流媒体网速: 1.04 MB/s | IP地址: 217.60.61.61:443 | 地区: LV
NO.5985 | 流媒体网速: 1.04 MB/s | IP地址: 5.34.210.31:443 | 地区: LV
NO.5986 | 流媒体网速: 1.04 MB/s | IP地址: 45.82.121.221:8443 | 地区: DE
NO.5987 | 流媒体网速: 1.03 MB/s | IP地址: 194.154.30.146:443 | 地区: DE
NO.5988 | 流媒体网速: 1.03 MB/s | IP地址: 195.137.244.47:2053 | 地区: PL
NO.5989 | 流媒体网速: 1.03 MB/s | IP地址: 178.105.162.134:443 | 地区: DE
NO.5990 | 流媒体网速: 1.03 MB/s | IP地址: 31.57.190.93:443 | 地区: ES
NO.5991 | 流媒体网速: 1.03 MB/s | IP地址: 159.65.31.38:443 | 地区: GB
NO.5992 | 流媒体网速: 1.03 MB/s | IP地址: 51.20.201.220:443 | 地区: SE
NO.5993 | 流媒体网速: 1.03 MB/s | IP地址: 103.242.2.214:8443 | 地区: HK
NO.5994 | 流媒体网速: 1.03 MB/s | IP地址: 165.227.11.101:443 | 地区: US
NO.5995 | 流媒体网速: 1.03 MB/s | IP地址: 195.135.255.229:443 | 地区: LV
NO.5996 | 流媒体网速: 1.03 MB/s | IP地址: 167.172.189.159:443 | 地区: DE
NO.5997 | 流媒体网速: 1.03 MB/s | IP地址: 35.42.169.95:443 | 地区: ES
NO.5998 | 流媒体网速: 1.03 MB/s | IP地址: 212.109.220.55:8443 | 地区: RU
NO.5999 | 流媒体网速: 1.03 MB/s | IP地址: 207.244.199.221:443 | 地区: DE
NO.6000 | 流媒体网速: 1.03 MB/s | IP地址: 45.192.202.199:443 | 地区: JP
NO.6001 | 流媒体网速: 1.02 MB/s | IP地址: 202.50.55.76:443 | 地区: NO
NO.6002 | 流媒体网速: 1.02 MB/s | IP地址: 194.58.34.59:443 | 地区: LV
NO.6003 | 流媒体网速: 1.02 MB/s | IP地址: 103.242.2.181:443 | 地区: HK
NO.6004 | 流媒体网速: 1.02 MB/s | IP地址: 51.222.136.162:8443 | 地区: CA
NO.6005 | 流媒体网速: 1.02 MB/s | IP地址: 45.152.64.16:443 | 地区: HK
NO.6006 | 流媒体网速: 1.02 MB/s | IP地址: 45.76.207.88:443 | 地区: JP
NO.6007 | 流媒体网速: 1.02 MB/s | IP地址: 45.150.195.67:443 | 地区: ES
NO.6008 | 流媒体网速: 1.02 MB/s | IP地址: 162.243.115.21:443 | 地区: US
NO.6009 | 流媒体网速: 1.02 MB/s | IP地址: 31.57.196.243:443 | 地区: NL
NO.6010 | 流媒体网速: 1.02 MB/s | IP地址: 194.68.32.99:443 | 地区: NO
NO.6011 | 流媒体网速: 1.02 MB/s | IP地址: 46.226.161.129:2053 | 地区: SE
NO.6012 | 流媒体网速: 1.02 MB/s | IP地址: 185.65.151.81:443 | 地区: US
NO.6013 | 流媒体网速: 1.02 MB/s | IP地址: 212.34.153.206:2053 | 地区: NL
NO.6014 | 流媒体网速: 1.02 MB/s | IP地址: 213.21.235.84:443 | 地区: GB
NO.6015 | 流媒体网速: 1.02 MB/s | IP地址: 207.154.246.53:2087 | 地区: DE
NO.6016 | 流媒体网速: 1.01 MB/s | IP地址: 2.28.4.233:8443 | 地区: DE
NO.6017 | 流媒体网速: 1.01 MB/s | IP地址: 193.124.57.24:2083 | 地区: CZ
NO.6018 | 流媒体网速: 1.01 MB/s | IP地址: 46.8.179.191:443 | 地区: FI
NO.6019 | 流媒体网速: 1.01 MB/s | IP地址: 188.225.47.173:443 | 地区: RU
NO.6020 | 流媒体网速: 1.01 MB/s | IP地址: 152.53.158.61:443 | 地区: DE
NO.6021 | 流媒体网速: 1.01 MB/s | IP地址: 31.59.94.24:2053 | 地区: NL
NO.6022 | 流媒体网速: 1.01 MB/s | IP地址: 213.238.182.13:443 | 地区: TR
NO.6023 | 流媒体网速: 1.01 MB/s | IP地址: 185.36.143.123:443 | 地区: NL
NO.6024 | 流媒体网速: 1.01 MB/s | IP地址: 31.76.226.238:443 | 地区: FI
NO.6025 | 流媒体网速: 1.01 MB/s | IP地址: 152.67.41.217:443 | 地区: BR
NO.6026 | 流媒体网速: 1.01 MB/s | IP地址: 38.54.29.210:2053 | 地区: GR
NO.6027 | 流媒体网速: 1.00 MB/s | IP地址: 217.60.63.14:8443 | 地区: FR
NO.6028 | 流媒体网速: 1.00 MB/s | IP地址: 45.192.201.197:443 | 地区: JP
NO.6029 | 流媒体网速: 1.00 MB/s | IP地址: 222.167.248.37:443 | 地区: PL
NO.6030 | 流媒体网速: 1.00 MB/s | IP地址: 217.154.165.130:443 | 地区: DE
NO.6031 | 流媒体网速: 1.00 MB/s | IP地址: 193.233.216.219:8443 | 地区: RU
NO.6032 | 流媒体网速: 1.00 MB/s | IP地址: 3.66.115.225:443 | 地区: DE
NO.6033 | 流媒体网速: 1.00 MB/s | IP地址: 103.224.84.70:443 | 地区: TH
NO.6034 | 流媒体网速: 1.00 MB/s | IP地址: 193.233.216.182:8443 | 地区: RU
NO.6035 | 流媒体网速: 1.00 MB/s | IP地址: 178.255.222.103:8443 | 地区: NL
NO.6036 | 流媒体网速: 1.00 MB/s | IP地址: 188.253.22.211:443 | 地区: LV
NO.6037 | 流媒体网速: 1.00 MB/s | IP地址: 152.53.183.52:8443 | 地区: DE
NO.6038 | 流媒体网速: 1.00 MB/s | IP地址: 31.57.190.91:443 | 地区: ES
NO.6039 | 流媒体网速: 1.00 MB/s | IP地址: 185.223.253.130:443 | 地区: BG
NO.6040 | 流媒体网速: 1022 KB/s | IP地址: 157.245.33.149:443 | 地区: GB
NO.6041 | 流媒体网速: 1021 KB/s | IP地址: 159.195.233.100:443 | 地区: US
NO.6042 | 流媒体网速: 1018 KB/s | IP地址: 31.76.66.205:443 | 地区: FI
NO.6043 | 流媒体网速: 1015 KB/s | IP地址: 157.228.130.240:443 | 地区: SG
NO.6044 | 流媒体网速: 1014 KB/s | IP地址: 207.174.30.12:443 | 地区: NL
NO.6045 | 流媒体网速: 1013 KB/s | IP地址: 54.37.139.89:8443 | 地区: PL
NO.6046 | 流媒体网速: 1006 KB/s | IP地址: 57.128.176.87:8443 | 地区: GB
NO.6047 | 流媒体网速: 1006 KB/s | IP地址: 45.136.14.153:443 | 地区: HK
NO.6048 | 流媒体网速: 1006 KB/s | IP地址: 45.192.243.176:443 | 地区: JP
NO.6049 | 流媒体网速: 1005 KB/s | IP地址: 31.57.196.220:8443 | 地区: NL
NO.6050 | 流媒体网速: 1005 KB/s | IP地址: 3.126.76.108:443 | 地区: DE
NO.6051 | 流媒体网速: 1003 KB/s | IP地址: 40.160.6.248:8443 | 地区: US
NO.6052 | 流媒体网速: 1002 KB/s | IP地址: 130.61.187.66:443 | 地区: DE
NO.6053 | 流媒体网速: 1001 KB/s | IP地址: 45.139.226.92:443 | 地区: SG
NO.6054 | 流媒体网速: 1001 KB/s | IP地址: 212.192.20.200:8443 | 地区: NL
NO.6055 | 流媒体网速: 1001 KB/s | IP地址: 50.114.236.72:443 | 地区: US
NO.6056 | 流媒体网速: 1001 KB/s | IP地址: 31.59.120.157:443 | 地区: FR
NO.6057 | 流媒体网速: 1000 KB/s | IP地址: 31.76.43.25:443 | 地区: FI
NO.6058 | 流媒体网速: 1000 KB/s | IP地址: 2.26.119.158:443 | 地区: RU
NO.6059 | 流媒体网速: 999 KB/s | IP地址: 213.165.48.10:443 | 地区: FR
NO.6060 | 流媒体网速: 998 KB/s | IP地址: 31.76.22.81:8443 | 地区: PL
NO.6061 | 流媒体网速: 998 KB/s | IP地址: 213.176.115.243:443 | 地区: GB
NO.6062 | 流媒体网速: 997 KB/s | IP地址: 202.61.226.121:2053 | 地区: DE
NO.6063 | 流媒体网速: 996 KB/s | IP地址: 207.154.241.250:2096 | 地区: DE
NO.6064 | 流媒体网速: 996 KB/s | IP地址: 166.88.194.248:443 | 地区: MY
NO.6065 | 流媒体网速: 995 KB/s | IP地址: 156.232.13.254:443 | 地区: US
NO.6066 | 流媒体网速: 994 KB/s | IP地址: 176.124.201.78:2053 | 地区: NL
NO.6067 | 流媒体网速: 994 KB/s | IP地址: 45.194.27.99:443 | 地区: MY
NO.6068 | 流媒体网速: 993 KB/s | IP地址: 64.176.62.94:443 | 地区: JP
NO.6069 | 流媒体网速: 993 KB/s | IP地址: 178.105.138.195:2096 | 地区: DE
NO.6070 | 流媒体网速: 991 KB/s | IP地址: 45.39.190.24:2053 | 地区: HK
NO.6071 | 流媒体网速: 989 KB/s | IP地址: 207.154.251.165:443 | 地区: DE
NO.6072 | 流媒体网速: 989 KB/s | IP地址: 31.57.47.19:443 | 地区: US
NO.6073 | 流媒体网速: 988 KB/s | IP地址: 167.179.94.160:443 | 地区: JP
NO.6074 | 流媒体网速: 987 KB/s | IP地址: 191.44.81.76:443 | 地区: PL
NO.6075 | 流媒体网速: 984 KB/s | IP地址: 195.200.16.13:443 | 地区: NL
NO.6076 | 流媒体网速: 984 KB/s | IP地址: 31.59.103.137:443 | 地区: FR
NO.6077 | 流媒体网速: 981 KB/s | IP地址: 176.42.68.134:2087 | 地区: TR
NO.6078 | 流媒体网速: 980 KB/s | IP地址: 207.154.246.53:2053 | 地区: DE
NO.6079 | 流媒体网速: 979 KB/s | IP地址: 168.138.176.180:443 | 地区: SG
NO.6080 | 流媒体网速: 979 KB/s | IP地址: 213.155.21.40:8443 | 地区: KZ
NO.6081 | 流媒体网速: 978 KB/s | IP地址: 212.34.152.202:8443 | 地区: NL
NO.6082 | 流媒体网速: 978 KB/s | IP地址: 31.59.143.122:443 | 地区: PL
NO.6083 | 流媒体网速: 978 KB/s | IP地址: 45.207.157.136:443 | 地区: HK
NO.6084 | 流媒体网速: 976 KB/s | IP地址: 188.42.218.140:8443 | 地区: NL
NO.6085 | 流媒体网速: 973 KB/s | IP地址: 37.120.168.235:2053 | 地区: DE
NO.6086 | 流媒体网速: 973 KB/s | IP地址: 213.165.58.227:443 | 地区: FI
NO.6087 | 流媒体网速: 972 KB/s | IP地址: 46.249.103.50:443 | 地区: SE
NO.6088 | 流媒体网速: 971 KB/s | IP地址: 192.145.29.34:8443 | 地区: FI
NO.6089 | 流媒体网速: 971 KB/s | IP地址: 31.77.194.197:443 | 地区: FI
NO.6090 | 流媒体网速: 965 KB/s | IP地址: 159.195.225.58:8443 | 地区: DE
NO.6091 | 流媒体网速: 964 KB/s | IP地址: 217.60.2.212:443 | 地区: LV
NO.6092 | 流媒体网速: 964 KB/s | IP地址: 212.111.89.146:8443 | 地区: NL
NO.6093 | 流媒体网速: 963 KB/s | IP地址: 206.245.133.239:8443 | 地区: FI
NO.6094 | 流媒体网速: 963 KB/s | IP地址: 83.147.12.252:443 | 地区: TW
NO.6095 | 流媒体网速: 962 KB/s | IP地址: 46.101.93.157:443 | 地区: GB
NO.6096 | 流媒体网速: 962 KB/s | IP地址: 195.133.195.167:443 | 地区: NL
NO.6097 | 流媒体网速: 961 KB/s | IP地址: 147.90.229.218:443 | 地区: NL
NO.6098 | 流媒体网速: 960 KB/s | IP地址: 31.57.190.75:443 | 地区: ES
NO.6099 | 流媒体网速: 959 KB/s | IP地址: 193.124.226.14:8443 | 地区: NL
NO.6100 | 流媒体网速: 959 KB/s | IP地址: 164.92.151.224:443 | 地区: NL
NO.6101 | 流媒体网速: 959 KB/s | IP地址: 195.133.83.183:8443 | 地区: DE
NO.6102 | 流媒体网速: 955 KB/s | IP地址: 193.180.213.29:8443 | 地区: DK
NO.6103 | 流媒体网速: 955 KB/s | IP地址: 193.41.5.38:443 | 地区: DE
NO.6104 | 流媒体网速: 949 KB/s | IP地址: 45.32.100.162:443 | 地区: SG
NO.6105 | 流媒体网速: 949 KB/s | IP地址: 207.148.23.49:443 | 地区: US
NO.6106 | 流媒体网速: 947 KB/s | IP地址: 45.137.81.23:443 | 地区: FI
NO.6107 | 流媒体网速: 946 KB/s | IP地址: 31.57.26.227:8443 | 地区: LV
NO.6108 | 流媒体网速: 943 KB/s | IP地址: 152.53.110.45:443 | 地区: AT
NO.6109 | 流媒体网速: 942 KB/s | IP地址: 185.246.189.226:443 | 地区: NL
NO.6110 | 流媒体网速: 941 KB/s | IP地址: 195.133.39.122:443 | 地区: NL
NO.6111 | 流媒体网速: 941 KB/s | IP地址: 146.185.137.209:443 | 地区: NL
NO.6112 | 流媒体网速: 939 KB/s | IP地址: 147.75.230.33:443 | 地区: US
NO.6113 | 流媒体网速: 938 KB/s | IP地址: 46.8.255.223:443 | 地区: RU
NO.6114 | 流媒体网速: 936 KB/s | IP地址: 193.233.75.105:8443 | 地区: DE
NO.6115 | 流媒体网速: 935 KB/s | IP地址: 46.226.161.21:443 | 地区: SE
NO.6116 | 流媒体网速: 933 KB/s | IP地址: 212.60.4.134:443 | 地区: BY
NO.6117 | 流媒体网速: 933 KB/s | IP地址: 185.94.164.160:443 | 地区: NL
NO.6118 | 流媒体网速: 932 KB/s | IP地址: 191.44.37.141:8443 | 地区: RU
NO.6119 | 流媒体网速: 931 KB/s | IP地址: 185.103.255.45:2096 | 地区: NL
NO.6120 | 流媒体网速: 931 KB/s | IP地址: 150.241.78.169:443 | 地区: DE
NO.6121 | 流媒体网速: 930 KB/s | IP地址: 194.87.227.29:2053 | 地区: DE
NO.6122 | 流媒体网速: 930 KB/s | IP地址: 31.58.244.244:8443 | 地区: NL
NO.6123 | 流媒体网速: 927 KB/s | IP地址: 217.60.252.18:8443 | 地区: FR
NO.6124 | 流媒体网速: 927 KB/s | IP地址: 194.147.221.45:443 | 地区: NL
NO.6125 | 流媒体网速: 925 KB/s | IP地址: 45.134.38.168:8443 | 地区: DE
NO.6126 | 流媒体网速: 925 KB/s | IP地址: 138.124.229.46:443 | 地区: DE
NO.6127 | 流媒体网速: 925 KB/s | IP地址: 194.88.150.221:443 | 地区: PL
NO.6128 | 流媒体网速: 924 KB/s | IP地址: 157.22.231.205:443 | 地区: RU
NO.6129 | 流媒体网速: 924 KB/s | IP地址: 5.61.88.200:443 | 地区: FI
NO.6130 | 流媒体网速: 924 KB/s | IP地址: 5.61.90.135:443 | 地区: FI
NO.6131 | 流媒体网速: 922 KB/s | IP地址: 62.60.248.23:8443 | 地区: FR
NO.6132 | 流媒体网速: 922 KB/s | IP地址: 2.27.57.87:8443 | 地区: PL
NO.6133 | 流媒体网速: 922 KB/s | IP地址: 45.63.6.185:443 | 地区: US
NO.6134 | 流媒体网速: 922 KB/s | IP地址: 217.60.252.106:443 | 地区: FR
NO.6135 | 流媒体网速: 922 KB/s | IP地址: 178.173.255.201:443 | 地区: NL
NO.6136 | 流媒体网速: 922 KB/s | IP地址: 31.59.174.9:443 | 地区: NL
NO.6137 | 流媒体网速: 921 KB/s | IP地址: 138.124.103.161:443 | 地区: FI
NO.6138 | 流媒体网速: 920 KB/s | IP地址: 194.87.82.143:2053 | 地区: NL
NO.6139 | 流媒体网速: 919 KB/s | IP地址: 5.181.108.232:443 | 地区: RU
NO.6140 | 流媒体网速: 919 KB/s | IP地址: 217.19.4.177:2053 | 地区: LV
NO.6141 | 流媒体网速: 918 KB/s | IP地址: 185.121.12.28:2053 | 地区: ES
NO.6142 | 流媒体网速: 918 KB/s | IP地址: 213.210.4.48:443 | 地区: TW
NO.6143 | 流媒体网速: 915 KB/s | IP地址: 195.19.20.80:443 | 地区: RU
NO.6144 | 流媒体网速: 914 KB/s | IP地址: 31.40.204.243:2083 | 地区: TR
NO.6145 | 流媒体网速: 913 KB/s | IP地址: 154.41.80.155:8443 | 地区: US
NO.6146 | 流媒体网速: 912 KB/s | IP地址: 144.31.213.127:443 | 地区: DE
NO.6147 | 流媒体网速: 912 KB/s | IP地址: 46.250.231.61:443 | 地区: SG
NO.6148 | 流媒体网速: 911 KB/s | IP地址: 31.76.114.84:443 | 地区: FI
NO.6149 | 流媒体网速: 909 KB/s | IP地址: 147.90.26.65:443 | 地区: FR
NO.6150 | 流媒体网速: 906 KB/s | IP地址: 62.171.228.38:443 | 地区: NL
NO.6151 | 流媒体网速: 906 KB/s | IP地址: 216.9.226.251:443 | 地区: US
NO.6152 | 流媒体网速: 906 KB/s | IP地址: 209.250.249.17:8443 | 地区: NL
NO.6153 | 流媒体网速: 905 KB/s | IP地址: 217.154.199.137:443 | 地区: DE
NO.6154 | 流媒体网速: 904 KB/s | IP地址: 195.248.241.192:2053 | 地区: DE
NO.6155 | 流媒体网速: 902 KB/s | IP地址: 193.31.27.221:443 | 地区: DE
NO.6156 | 流媒体网速: 901 KB/s | IP地址: 46.22.211.46:443 | 地区: EE
NO.6157 | 流媒体网速: 900 KB/s | IP地址: 164.92.191.53:443 | 地区: DE
NO.6158 | 流媒体网速: 899 KB/s | IP地址: 108.165.255.81:443 | 地区: HK
NO.6159 | 流媒体网速: 897 KB/s | IP地址: 141.11.87.48:443 | 地区: TW
NO.6160 | 流媒体网速: 897 KB/s | IP地址: 46.101.152.196:443 | 地区: DE
NO.6161 | 流媒体网速: 892 KB/s | IP地址: 130.17.10.196:443 | 地区: DE
NO.6162 | 流媒体网速: 892 KB/s | IP地址: 212.2.33.130:443 | 地区: DE
NO.6163 | 流媒体网速: 891 KB/s | IP地址: 45.151.102.159:8443 | 地区: RU
NO.6164 | 流媒体网速: 890 KB/s | IP地址: 159.195.76.248:443 | 地区: DE
NO.6165 | 流媒体网速: 890 KB/s | IP地址: 45.131.109.6:443 | 地区: DE
NO.6166 | 流媒体网速: 889 KB/s | IP地址: 185.233.185.99:8443 | 地区: RU
NO.6167 | 流媒体网速: 889 KB/s | IP地址: 31.57.29.8:443 | 地区: LV
NO.6168 | 流媒体网速: 889 KB/s | IP地址: 3.234.249.2:443 | 地区: US
NO.6169 | 流媒体网速: 888 KB/s | IP地址: 195.137.244.43:2087 | 地区: PL
NO.6170 | 流媒体网速: 888 KB/s | IP地址: 213.148.10.170:8443 | 地区: KZ
NO.6171 | 流媒体网速: 887 KB/s | IP地址: 38.244.154.141:443 | 地区: EE
NO.6172 | 流媒体网速: 885 KB/s | IP地址: 146.185.151.94:443 | 地区: NL
NO.6173 | 流媒体网速: 883 KB/s | IP地址: 194.87.77.75:443 | 地区: DE
NO.6174 | 流媒体网速: 883 KB/s | IP地址: 138.124.93.139:443 | 地区: GB
NO.6175 | 流媒体网速: 883 KB/s | IP地址: 5.253.28.108:443 | 地区: IN
NO.6176 | 流媒体网速: 882 KB/s | IP地址: 178.105.164.161:443 | 地区: DE
NO.6177 | 流媒体网速: 881 KB/s | IP地址: 213.1.145.50:443 | 地区: GB
NO.6178 | 流媒体网速: 881 KB/s | IP地址: 31.57.196.19:8443 | 地区: NL
NO.6179 | 流媒体网速: 879 KB/s | IP地址: 132.243.23.59:443 | 地区: FI
NO.6180 | 流媒体网速: 878 KB/s | IP地址: 185.114.72.31:2053 | 地区: ES
NO.6181 | 流媒体网速: 878 KB/s | IP地址: 147.90.229.217:443 | 地区: NL
NO.6182 | 流媒体网速: 876 KB/s | IP地址: 193.181.213.45:443 | 地区: DK
NO.6183 | 流媒体网速: 875 KB/s | IP地址: 31.56.113.127:443 | 地区: LV
NO.6184 | 流媒体网速: 874 KB/s | IP地址: 178.255.222.46:443 | 地区: NL
NO.6185 | 流媒体网速: 873 KB/s | IP地址: 175.29.23.87:443 | 地区: HK
NO.6186 | 流媒体网速: 873 KB/s | IP地址: 217.60.96.67:443 | 地区: NL
NO.6187 | 流媒体网速: 873 KB/s | IP地址: 159.195.112.41:443 | 地区: AT
NO.6188 | 流媒体网速: 872 KB/s | IP地址: 165.227.131.122:443 | 地区: DE
NO.6189 | 流媒体网速: 872 KB/s | IP地址: 185.114.72.31:8443 | 地区: ES
NO.6190 | 流媒体网速: 871 KB/s | IP地址: 178.105.215.151:2053 | 地区: DE
NO.6191 | 流媒体网速: 870 KB/s | IP地址: 167.71.118.179:8443 | 地区: US
NO.6192 | 流媒体网速: 870 KB/s | IP地址: 195.137.244.43:2083 | 地区: PL
NO.6193 | 流媒体网速: 869 KB/s | IP地址: 185.198.165.78:443 | 地区: NL
NO.6194 | 流媒体网速: 866 KB/s | IP地址: 45.142.178.163:443 | 地区: DE
NO.6195 | 流媒体网速: 864 KB/s | IP地址: 5.249.255.116:443 | 地区: DK
NO.6196 | 流媒体网速: 863 KB/s | IP地址: 45.63.16.158:8443 | 地区: US
NO.6197 | 流媒体网速: 862 KB/s | IP地址: 185.31.200.42:8443 | 地区: NL
NO.6198 | 流媒体网速: 861 KB/s | IP地址: 159.195.193.23:8443 | 地区: DE
NO.6199 | 流媒体网速: 860 KB/s | IP地址: 65.20.71.82:443 | 地区: IN
NO.6200 | 流媒体网速: 860 KB/s | IP地址: 38.180.164.234:443 | 地区: EE
NO.6201 | 流媒体网速: 859 KB/s | IP地址: 104.238.24.152:443 | 地区: KZ
NO.6202 | 流媒体网速: 858 KB/s | IP地址: 194.48.141.210:443 | 地区: NL
NO.6203 | 流媒体网速: 858 KB/s | IP地址: 185.253.46.105:8443 | 地区: CZ
NO.6204 | 流媒体网速: 857 KB/s | IP地址: 207.57.131.117:443 | 地区: HK
NO.6205 | 流媒体网速: 855 KB/s | IP地址: 45.141.177.62:443 | 地区: SE
NO.6206 | 流媒体网速: 855 KB/s | IP地址: 146.185.177.206:443 | 地区: NL
NO.6207 | 流媒体网速: 855 KB/s | IP地址: 188.34.157.46:443 | 地区: DE
NO.6208 | 流媒体网速: 855 KB/s | IP地址: 31.220.44.146:443 | 地区: NL
NO.6209 | 流媒体网速: 855 KB/s | IP地址: 199.247.18.248:443 | 地区: DE
NO.6210 | 流媒体网速: 852 KB/s | IP地址: 141.0.184.108:443 | 地区: FI
NO.6211 | 流媒体网速: 852 KB/s | IP地址: 162.243.143.110:443 | 地区: US
NO.6212 | 流媒体网速: 851 KB/s | IP地址: 207.154.224.207:8443 | 地区: DE
NO.6213 | 流媒体网速: 851 KB/s | IP地址: 150.241.108.48:443 | 地区: DE
NO.6214 | 流媒体网速: 850 KB/s | IP地址: 46.101.156.111:443 | 地区: DE
NO.6215 | 流媒体网速: 849 KB/s | IP地址: 193.160.96.14:8443 | 地区: NL
NO.6216 | 流媒体网速: 848 KB/s | IP地址: 207.154.246.53:2083 | 地区: DE
NO.6217 | 流媒体网速: 845 KB/s | IP地址: 185.207.107.203:443 | 地区: DE
NO.6218 | 流媒体网速: 842 KB/s | IP地址: 109.120.156.163:8443 | 地区: FI
NO.6219 | 流媒体网速: 842 KB/s | IP地址: 178.105.70.222:443 | 地区: DE
NO.6220 | 流媒体网速: 841 KB/s | IP地址: 193.164.155.115:443 | 地区: LV
NO.6221 | 流媒体网速: 837 KB/s | IP地址: 185.170.113.164:443 | 地区: DE
NO.6222 | 流媒体网速: 837 KB/s | IP地址: 38.150.32.128:443 | 地区: US
NO.6223 | 流媒体网速: 837 KB/s | IP地址: 149.33.35.197:443 | 地区: KZ
NO.6224 | 流媒体网速: 836 KB/s | IP地址: 152.53.250.138:443 | 地区: DE
NO.6225 | 流媒体网速: 835 KB/s | IP地址: 178.104.36.149:443 | 地区: DE
NO.6226 | 流媒体网速: 835 KB/s | IP地址: 178.105.95.125:443 | 地区: DE
NO.6227 | 流媒体网速: 834 KB/s | IP地址: 152.53.102.19:443 | 地区: AT
NO.6228 | 流媒体网速: 834 KB/s | IP地址: 144.31.38.33:2083 | 地区: DE
NO.6229 | 流媒体网速: 833 KB/s | IP地址: 144.31.252.129:443 | 地区: DE
NO.6230 | 流媒体网速: 832 KB/s | IP地址: 193.124.56.100:8443 | 地区: CZ
NO.6231 | 流媒体网速: 832 KB/s | IP地址: 151.243.181.99:443 | 地区: IS
NO.6232 | 流媒体网速: 831 KB/s | IP地址: 52.221.158.37:443 | 地区: SG
NO.6233 | 流媒体网速: 831 KB/s | IP地址: 31.59.102.96:8443 | 地区: LV
NO.6234 | 流媒体网速: 830 KB/s | IP地址: 194.164.192.16:443 | 地区: DE
NO.6235 | 流媒体网速: 830 KB/s | IP地址: 168.119.175.107:8443 | 地区: DE
NO.6236 | 流媒体网速: 829 KB/s | IP地址: 213.232.114.173:8443 | 地区: NL
NO.6237 | 流媒体网速: 829 KB/s | IP地址: 31.57.250.211:443 | 地区: NL
NO.6238 | 流媒体网速: 828 KB/s | IP地址: 104.252.19.29:2053 | 地区: LV
NO.6239 | 流媒体网速: 828 KB/s | IP地址: 185.21.8.88:2096 | 地区: DE
NO.6240 | 流媒体网速: 827 KB/s | IP地址: 51.38.73.235:443 | 地区: GB
NO.6241 | 流媒体网速: 826 KB/s | IP地址: 217.26.26.14:443 | 地区: RU
NO.6242 | 流媒体网速: 823 KB/s | IP地址: 195.66.24.131:2083 | 地区: DE
NO.6243 | 流媒体网速: 823 KB/s | IP地址: 193.181.215.4:8443 | 地区: DK
NO.6244 | 流媒体网速: 823 KB/s | IP地址: 5.45.184.200:443 | 地区: DE
NO.6245 | 流媒体网速: 822 KB/s | IP地址: 194.154.28.227:443 | 地区: ES
NO.6246 | 流媒体网速: 819 KB/s | IP地址: 18.141.208.166:443 | 地区: SG
NO.6247 | 流媒体网速: 818 KB/s | IP地址: 85.121.245.35:443 | 地区: HK
NO.6248 | 流媒体网速: 817 KB/s | IP地址: 159.195.141.56:8443 | 地区: AT
NO.6249 | 流媒体网速: 817 KB/s | IP地址: 213.176.77.231:443 | 地区: DE
NO.6250 | 流媒体网速: 816 KB/s | IP地址: 212.43.144.68:443 | 地区: DE
NO.6251 | 流媒体网速: 816 KB/s | IP地址: 206.223.84.247:443 | 地区: US
NO.6252 | 流媒体网速: 816 KB/s | IP地址: 24.199.96.137:443 | 地区: US
NO.6253 | 流媒体网速: 815 KB/s | IP地址: 5.255.122.58:443 | 地区: NL
NO.6254 | 流媒体网速: 813 KB/s | IP地址: 185.117.119.146:443 | 地区: FI
