==========================================================
     YouTube 专用优选网速排名（第一行最适合看视频）
==========================================================

NO.1 | 流媒体网速: 26.59 MB/s | IP地址: [2a0e:97c0:3f0:1::46e]:443 | 地区: 香港
NO.422 | 流媒体网速: 4.44 MB/s | IP地址: [2a12:bec4:1bb0:147b::2]:8443 | 地区: 德国
NO.423 | 流媒体网速: 4.43 MB/s | IP地址: [2603:c021:801a:4300:0:fb96:de40:d7f2]:2053 | 地区: 日本
NO.424 | 流媒体网速: 4.42 MB/s | IP地址: [2a03:b0c0:0:1051::2f3d:2000]:443 | 地区: 荷兰
NO.425 | 流媒体网速: 4.42 MB/s | IP地址: [2a12:bec4:1de0:199::2]:2087 | 地区: 荷兰
NO.426 | 流媒体网速: 4.41 MB/s | IP地址: [2603:c021:8007:111a::102]:443 | 地区: 日本
NO.427 | 流媒体网速: 4.41 MB/s | IP地址: [2001:ac8:28:51:0:1:f446:7605]:2083 | 地区: 德国
NO.428 | 流媒体网速: 4.41 MB/s | IP地址: [2a03:b0c0:0:1051::2e5e:c000]:443 | 地区: 荷兰
NO.429 | 流媒体网速: 4.40 MB/s | IP地址: [2a12:bec4:1bb0:1c8e::2]:443 | 地区: 德国
NO.430 | 流媒体网速: 4.40 MB/s | IP地址: [2a12:bec4:1ac1:26f::]:8443 | 地区: 波兰
NO.431 | 流媒体网速: 4.40 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:3ef3:7001]:443 | 地区: 英国
NO.432 | 流媒体网速: 4.39 MB/s | IP地址: [2603:c024:18:ac7e:0:7699:dcab:2aa]:443 | 地区: 韩国
NO.433 | 流媒体网速: 4.39 MB/s | IP地址: [2a12:5940:da55::2]:2087 | 地区: 荷兰
NO.434 | 流媒体网速: 4.38 MB/s | IP地址: [2a03:b0c0:0:1051::2404:d000]:443 | 地区: 荷兰
NO.435 | 流媒体网速: 4.38 MB/s | IP地址: [2a01:ecc0:c80:142::2]:443 | 地区: 荷兰
NO.436 | 流媒体网速: 4.37 MB/s | IP地址: [2a03:b0c0:3:f0:0:2:cbc:a000]:443 | 地区: 德国
NO.437 | 流媒体网速: 4.37 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:bde8:c001]:443 | 地区: 荷兰
NO.438 | 流媒体网速: 4.37 MB/s | IP地址: [2a03:b0c0:0:1051::23e1:7000]:443 | 地区: 荷兰
NO.439 | 流媒体网速: 4.37 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:f95b:6000]:443 | 地区: 德国
NO.440 | 流媒体网速: 4.37 MB/s | IP地址: [2602:f873:11:603:0:1:d688:84e9]:443 | 地区: 美国-洛杉矶
NO.441 | 流媒体网速: 4.36 MB/s | IP地址: [2a12:bec4:1bb0:1af1::2]:8443 | 地区: 德国
NO.442 | 流媒体网速: 4.36 MB/s | IP地址: [2a12:bec4:1ac1:45f::]:443 | 地区: 波兰
NO.443 | 流媒体网速: 4.35 MB/s | IP地址: [2a12:bec4:1bb0:1ad3::2]:8443 | 地区: 德国
NO.444 | 流媒体网速: 4.33 MB/s | IP地址: [2604:a880:2:d1:0:1:78c7:1]:8443 | 地区: 美国-圣何塞
NO.445 | 流媒体网速: 4.32 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:5db1:a001]:443 | 地区: 荷兰
NO.446 | 流媒体网速: 4.31 MB/s | IP地址: [2a12:bec4:1bb0:20b7::2]:443 | 地区: 德国
NO.447 | 流媒体网速: 4.31 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:5cc9:1]:443 | 地区: 荷兰
NO.448 | 流媒体网速: 4.30 MB/s | IP地址: [2607:5300:205:200::9041]:443 | 地区: 加拿大-魁北克
NO.449 | 流媒体网速: 4.30 MB/s | IP地址: [2602:f873:11:603:0:1:9899:e80f]:443 | 地区: 美国-洛杉矶
NO.450 | 流媒体网速: 4.29 MB/s | IP地址: [2a12:bec4:1bb0:1f05::2]:443 | 地区: 德国
NO.451 | 流媒体网速: 4.29 MB/s | IP地址: [2a01:ecc0:1005:4600::2]:443 | 地区: 荷兰
NO.452 | 流媒体网速: 4.28 MB/s | IP地址: [2a13:36c0:1ff:1197::1]:8443 | 地区: 荷兰
NO.453 | 流媒体网速: 4.27 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2561:d001]:443 | 地区: 英国
NO.454 | 流媒体网速: 4.27 MB/s | IP地址: [2a12:bec4:1de0:282::2]:443 | 地区: 荷兰
NO.455 | 流媒体网速: 4.27 MB/s | IP地址: [2a12:bec4:1ac1:b8::]:443 | 地区: 波兰
NO.456 | 流媒体网速: 4.26 MB/s | IP地址: [2602:fa59:2:a1e4::1]:443 | 地区: 美国-洛杉矶
NO.457 | 流媒体网速: 4.26 MB/s | IP地址: [2a12:bec4:1bb0:1839::2]:2083 | 地区: 德国
NO.458 | 流媒体网速: 4.25 MB/s | IP地址: [2a03:f80:39:b0cf::1]:443 | 地区: 德国
NO.459 | 流媒体网速: 4.25 MB/s | IP地址: [2a13:4ac0:8:4:f816:3eff:fee1:3d39]:443 | 地区: 德国
NO.460 | 流媒体网速: 4.25 MB/s | IP地址: [2a0b:4142:113a::2]:443 | 地区: 德国
NO.461 | 流媒体网速: 4.25 MB/s | IP地址: [2a03:b0c0:0:1051::2574:9000]:443 | 地区: 荷兰
NO.462 | 流媒体网速: 4.24 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:6042:4001]:443 | 地区: 荷兰
NO.463 | 流媒体网速: 4.22 MB/s | IP地址: [2a12:bec4:1ac0:a6f::]:2083 | 地区: 荷兰
NO.464 | 流媒体网速: 4.21 MB/s | IP地址: [2a02:c207:2316:2241::1]:443 | 地区: 德国
NO.465 | 流媒体网速: 4.21 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:fd65:7000]:443 | 地区: 德国
NO.466 | 流媒体网速: 4.20 MB/s | IP地址: [2603:c020:8005:1b00:d2c4:8e49:acab:c3e6]:443 | 地区: 德国
NO.467 | 流媒体网速: 4.20 MB/s | IP地址: [2a12:bec4:1de0:1d1::2]:2083 | 地区: 荷兰
NO.468 | 流媒体网速: 4.20 MB/s | IP地址: [2a12:bec0:162:647::]:443 | 地区: 台湾
NO.469 | 流媒体网速: 4.20 MB/s | IP地址: [2a12:bec4:1bb0:2079::2]:443 | 地区: 德国
NO.470 | 流媒体网速: 4.20 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2836:c001]:443 | 地区: 英国
NO.471 | 流媒体网速: 4.19 MB/s | IP地址: [2a01:ecc0:200:1391::2]:443 | 地区: 德国
NO.472 | 流媒体网速: 4.19 MB/s | IP地址: [2604:a880:1:4a::14a2:a000]:443 | 地区: 美国-圣何塞
NO.473 | 流媒体网速: 4.19 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:255b:b001]:443 | 地区: 英国
NO.474 | 流媒体网速: 4.18 MB/s | IP地址: [2a03:b0c0:0:1051::25bb:4000]:443 | 地区: 荷兰
NO.475 | 流媒体网速: 4.18 MB/s | IP地址: [2a03:b0c0:0:1051::2440:0]:443 | 地区: 荷兰
NO.476 | 流媒体网速: 4.17 MB/s | IP地址: [2a01:ecc0:1004:e800::2]:2053 | 地区: 荷兰
NO.477 | 流媒体网速: 4.16 MB/s | IP地址: [2602:f873:11:605:0:1:1694:92ef]:443 | 地区: 美国-洛杉矶
NO.478 | 流媒体网速: 4.16 MB/s | IP地址: [2a03:b0c0:3:f0:0:2:855:6000]:443 | 地区: 德国
NO.479 | 流媒体网速: 4.15 MB/s | IP地址: [2a12:bec4:1de0:102::2]:443 | 地区: 荷兰
NO.480 | 流媒体网速: 4.15 MB/s | IP地址: [2a12:bec4:1bb0:10a1::2]:443 | 地区: 德国
NO.481 | 流媒体网速: 4.15 MB/s | IP地址: [2a03:b0c0:3:f0:0:2:13f0:4000]:443 | 地区: 德国
NO.482 | 流媒体网速: 4.13 MB/s | IP地址: [2a06:dd00:1:4::2191]:443 | 地区: 荷兰
NO.483 | 流媒体网速: 4.13 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:fe14:a000]:443 | 地区: 德国
NO.484 | 流媒体网速: 4.12 MB/s | IP地址: [2a12:bec4:1bb0:1590::2]:443 | 地区: 德国
NO.485 | 流媒体网速: 4.11 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:fa7e:f000]:443 | 地区: 德国
NO.486 | 流媒体网速: 4.11 MB/s | IP地址: [2a12:bec4:1ac1:248::]:2053 | 地区: 波兰
NO.487 | 流媒体网速: 4.10 MB/s | IP地址: [2604:2dc0:208:1800::]:443 | 地区: PDX
NO.488 | 流媒体网速: 4.10 MB/s | IP地址: [2a12:bec4:1ac1:8d0::]:8443 | 地区: 波兰
NO.489 | 流媒体网速: 4.09 MB/s | IP地址: [2603:c023:8:9000:133c:e491:c918:5765]:443 | 地区: 日本-大阪
NO.490 | 流媒体网速: 4.09 MB/s | IP地址: [2602:f8c0:a:1001:be24:11ff:fe0b:1a07]:443 | 地区: DFW
NO.491 | 流媒体网速: 4.08 MB/s | IP地址: [2603:c024:4503:131a::102]:443 | 地区: 新加坡
NO.492 | 流媒体网速: 4.07 MB/s | IP地址: [2a01:ecc0:6000:6fe::2]:443 | 地区: 荷兰
NO.493 | 流媒体网速: 4.07 MB/s | IP地址: [2a01:ecc0:6000:37c::2]:8443 | 地区: 荷兰
NO.494 | 流媒体网速: 4.07 MB/s | IP地址: [2a12:bec4:1ac1:88::]:443 | 地区: 波兰
NO.495 | 流媒体网速: 4.06 MB/s | IP地址: [2607:5300:60:146e::]:443 | 地区: 加拿大-魁北克
NO.496 | 流媒体网速: 4.05 MB/s | IP地址: [2607:5300:205:200::a2ba]:443 | 地区: 加拿大-魁北克
NO.497 | 流媒体网速: 4.04 MB/s | IP地址: [2a01:ecc0:6000:b8::2]:443 | 地区: 荷兰
NO.498 | 流媒体网速: 4.04 MB/s | IP地址: [2604:2dc0:222::5b1]:8443 | 地区: PDX
NO.499 | 流媒体网速: 4.03 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:6aae:2001]:443 | 地区: 荷兰
NO.500 | 流媒体网速: 4.03 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2b8b:1]:443 | 地区: 英国
NO.501 | 流媒体网速: 4.03 MB/s | IP地址: [2001:41d0:ab01::4:0:217]:2053 | 地区: 比利时
NO.502 | 流媒体网速: 4.00 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:698e:9001]:443 | 地区: 荷兰
NO.503 | 流媒体网速: 3.99 MB/s | IP地址: [2a12:bec4:1de0:210::2]:443 | 地区: 荷兰
NO.504 | 流媒体网速: 3.95 MB/s | IP地址: [2604:2dc0:101:200::d21]:8443 | 地区: IAD
NO.505 | 流媒体网速: 3.94 MB/s | IP地址: [2603:c02b:303:6d88:0:ccb4:b98b:fc70]:443 | 地区: 新加坡
NO.506 | 流媒体网速: 3.94 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:fa45:c000]:443 | 地区: 德国
NO.507 | 流媒体网速: 3.90 MB/s | IP地址: [2a12:bec0:68f:74f::]:443 | 地区: SLC
NO.508 | 流媒体网速: 3.89 MB/s | IP地址: [2a03:b0c0:3:f0:0:2:4e9a:7000]:443 | 地区: 德国
NO.509 | 流媒体网速: 3.84 MB/s | IP地址: [2603:c020:8012:af01:aed5:a52d:5a69:c5ce]:443 | 地区: MUC
NO.510 | 流媒体网速: 3.84 MB/s | IP地址: [2a12:bec4:1de0:3f4::2]:443 | 地区: 荷兰
NO.511 | 流媒体网速: 3.83 MB/s | IP地址: [2001:ac8:28:51:0:1:f446:7605]:2083 | 地区: 德国
NO.512 | 流媒体网速: 3.83 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:f959:a000]:443 | 地区: 德国
NO.513 | 流媒体网速: 3.82 MB/s | IP地址: [2603:c023:8:9000:133c:e491:c918:5765]:443 | 地区: 日本-大阪
NO.514 | 流媒体网速: 3.82 MB/s | IP地址: [2604:2dc0:101:200::301f]:8443 | 地区: IAD
NO.515 | 流媒体网速: 3.82 MB/s | IP地址: [2a01:ecc0:6000:6e9::2]:443 | 地区: 荷兰
NO.516 | 流媒体网速: 3.81 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:fe14:8000]:443 | 地区: 德国
NO.517 | 流媒体网速: 3.81 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2ef4:1]:443 | 地区: 英国
NO.518 | 流媒体网速: 3.80 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2b62:b001]:443 | 地区: 英国
NO.519 | 流媒体网速: 3.79 MB/s | IP地址: [2a13:36c0:1ff:1361::1]:8443 | 地区: 荷兰
NO.520 | 流媒体网速: 3.71 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:fd65:3000]:443 | 地区: 德国
NO.521 | 流媒体网速: 3.70 MB/s | IP地址: [2a01:ecc0:40:15de::2]:2053 | 地区: 德国
NO.522 | 流媒体网速: 3.70 MB/s | IP地址: [2a0d:2787:1e:69d::a]:443 | 地区: 荷兰
NO.523 | 流媒体网速: 3.70 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2bc1:7001]:443 | 地区: 英国
NO.524 | 流媒体网速: 3.69 MB/s | IP地址: [2602:fa59:5:b29::1]:8443 | 地区: 荷兰
NO.525 | 流媒体网速: 3.68 MB/s | IP地址: [2603:c022:800e:3eaa:0:17de:ef10:c2f1]:443 | 地区: 韩国
NO.526 | 流媒体网速: 3.68 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:b90e:2001]:443 | 地区: 荷兰
NO.527 | 流媒体网速: 3.67 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2836:d001]:443 | 地区: 英国
NO.528 | 流媒体网速: 3.67 MB/s | IP地址: [2606:65c0:10:253:9c67:db14:c951:e701]:443 | 地区: DFW
NO.529 | 流媒体网速: 3.66 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:6aad:a001]:443 | 地区: 荷兰
NO.530 | 流媒体网速: 3.66 MB/s | IP地址: [2a13:36c0:1ff:1453::1]:8443 | 地区: 荷兰
NO.531 | 流媒体网速: 3.66 MB/s | IP地址: [2603:c021:8006:ae10:0:13b2:10b7:df6b]:443 | 地区: 日本
NO.532 | 流媒体网速: 3.66 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:5d70:1]:443 | 地区: 荷兰
NO.533 | 流媒体网速: 3.65 MB/s | IP地址: [2401:3bc0:100f:221:5054:ff:fe61:3bcd]:8443 | 地区: 德国
NO.534 | 流媒体网速: 3.65 MB/s | IP地址: [2a03:b0c0:3:f0:0:2:e49:1000]:443 | 地区: 德国
NO.535 | 流媒体网速: 3.64 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:3b6e:b001]:443 | 地区: 英国
NO.536 | 流媒体网速: 3.64 MB/s | IP地址: [2a12:bec4:1ac1:8d0::]:443 | 地区: 波兰
NO.537 | 流媒体网速: 3.64 MB/s | IP地址: [2603:c023:c:5a75:b769:eb78:3d8f:6c55]:443 | 地区: 日本-大阪
NO.538 | 流媒体网速: 3.63 MB/s | IP地址: [2603:c021:8013:2700:1a90:7b03:164f:58a4]:443 | 地区: 日本
NO.539 | 流媒体网速: 3.63 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:698e:d001]:443 | 地区: 荷兰
NO.540 | 流媒体网速: 3.62 MB/s | IP地址: [2a03:b0c0:3:f0:0:2:cbc:8000]:443 | 地区: 德国
NO.541 | 流媒体网速: 3.62 MB/s | IP地址: [2603:c023:3:2a00:e839:ade8:8c55:8380]:443 | 地区: 日本-大阪
NO.542 | 流媒体网速: 3.61 MB/s | IP地址: [2a03:b0c0:0:1051::2752:0]:443 | 地区: 荷兰
NO.543 | 流媒体网速: 3.61 MB/s | IP地址: [2a03:b0c0:3:f0:0:2:df0:a000]:443 | 地区: 德国
NO.544 | 流媒体网速: 3.60 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2553:7001]:443 | 地区: 英国
NO.545 | 流媒体网速: 3.60 MB/s | IP地址: [2a03:b0c0:3:f0:0:2:ce8:d000]:443 | 地区: 德国
NO.546 | 流媒体网速: 3.60 MB/s | IP地址: [2603:c023:0:c12:2551:1093:fd21:33c6]:443 | 地区: 日本-大阪
NO.547 | 流媒体网速: 3.58 MB/s | IP地址: [2a03:b0c0:3:f0:0:2:df1:4000]:443 | 地区: 德国
NO.548 | 流媒体网速: 3.58 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2bc3:7001]:443 | 地区: 英国
NO.549 | 流媒体网速: 3.57 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:5b6d:3001]:443 | 地区: 荷兰
NO.550 | 流媒体网速: 3.56 MB/s | IP地址: [2a12:bec0:162:442::]:443 | 地区: 台湾
NO.551 | 流媒体网速: 3.56 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2836:e001]:443 | 地区: 英国
NO.552 | 流媒体网速: 3.56 MB/s | IP地址: [2a03:b0c0:0:1051::26e4:c000]:443 | 地区: 荷兰
NO.553 | 流媒体网速: 3.56 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:fe14:6000]:443 | 地区: 德国
NO.554 | 流媒体网速: 3.56 MB/s | IP地址: [2603:c022:8012:623d:0:3a79:be4f:a108]:443 | 地区: 韩国
NO.555 | 流媒体网速: 3.53 MB/s | IP地址: [2a01:230:4:7e2::2]:2053 | 地区: HEL
NO.556 | 流媒体网速: 3.53 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:5c18:1]:443 | 地区: 荷兰
NO.557 | 流媒体网速: 3.53 MB/s | IP地址: [2a03:b0c0:0:1051::2dbe:d000]:443 | 地区: 荷兰
NO.558 | 流媒体网速: 3.53 MB/s | IP地址: [2a03:b0c0:0:1051::29e8:e000]:443 | 地区: 荷兰
NO.559 | 流媒体网速: 3.53 MB/s | IP地址: [2607:5300:205:200::938c]:8443 | 地区: 加拿大-魁北克
NO.560 | 流媒体网速: 3.53 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:5c5e:4001]:443 | 地区: 荷兰
NO.561 | 流媒体网速: 3.52 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:3b6f:1001]:443 | 地区: 英国
NO.562 | 流媒体网速: 3.52 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:38dc:1]:443 | 地区: 英国
NO.563 | 流媒体网速: 3.52 MB/s | IP地址: [2607:5300:205:200::9fc2]:443 | 地区: 加拿大-魁北克
NO.564 | 流媒体网速: 3.51 MB/s | IP地址: [2a03:b0c0:0:1051::2dbe:6000]:443 | 地区: 荷兰
NO.565 | 流媒体网速: 3.50 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:60a8:b001]:443 | 地区: 荷兰
NO.566 | 流媒体网速: 3.50 MB/s | IP地址: [2a03:b0c0:0:1051::243f:a000]:443 | 地区: 荷兰
NO.567 | 流媒体网速: 3.50 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:5b6d:4001]:443 | 地区: 荷兰
NO.568 | 流媒体网速: 3.49 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:fbd3:f000]:443 | 地区: 德国
NO.569 | 流媒体网速: 3.49 MB/s | IP地址: [2604:a880:4:1d0:0:2:e313:8000]:443 | 地区: 美国-圣何塞
NO.570 | 流媒体网速: 3.49 MB/s | IP地址: [2a01:ecc0:1007:4a00::2]:8443 | 地区: 荷兰
NO.571 | 流媒体网速: 3.49 MB/s | IP地址: [2a03:b0c0:0:1051::26e4:f000]:443 | 地区: 荷兰
NO.572 | 流媒体网速: 3.48 MB/s | IP地址: [2a03:b0c0:0:1051::2f24:a000]:443 | 地区: 荷兰
NO.573 | 流媒体网速: 3.48 MB/s | IP地址: [2a03:b0c0:0:1051::2dbc:e000]:443 | 地区: 荷兰
NO.574 | 流媒体网速: 3.48 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:fa7f:5000]:443 | 地区: 德国
NO.575 | 流媒体网速: 3.48 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:3b6e:d001]:443 | 地区: 英国
NO.576 | 流媒体网速: 3.48 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2580:1001]:443 | 地区: 英国
NO.577 | 流媒体网速: 3.48 MB/s | IP地址: [2a03:b0c0:3:f0:0:2:df0:5000]:443 | 地区: 德国
NO.578 | 流媒体网速: 3.48 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:f959:8000]:443 | 地区: 德国
NO.579 | 流媒体网速: 3.48 MB/s | IP地址: [2a12:bec4:1bb0:1d7::2]:443 | 地区: 德国
NO.580 | 流媒体网速: 3.48 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2bc3:1]:443 | 地区: 英国
NO.581 | 流媒体网速: 3.47 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:fce0:0]:443 | 地区: 德国
NO.582 | 流媒体网速: 3.47 MB/s | IP地址: [2a03:b0c0:3:f0:0:2:b34:e000]:443 | 地区: 德国
NO.583 | 流媒体网速: 3.47 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:6041:d001]:443 | 地区: 荷兰
NO.584 | 流媒体网速: 3.47 MB/s | IP地址: [2a01:ecc0:d80:22::2]:443 | 地区: 德国
NO.585 | 流媒体网速: 3.46 MB/s | IP地址: [2a03:b0c0:0:1051::25bb:2000]:443 | 地区: 荷兰
NO.586 | 流媒体网速: 3.46 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2b63:1001]:443 | 地区: 英国
NO.587 | 流媒体网速: 3.46 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2587:d001]:443 | 地区: 英国
NO.588 | 流媒体网速: 3.46 MB/s | IP地址: [2602:fa59:10:7ad::1]:443 | 地区: 美国-洛杉矶
NO.589 | 流媒体网速: 3.46 MB/s | IP地址: [2a03:b0c0:0:1051::29bc:e000]:443 | 地区: 荷兰
NO.590 | 流媒体网速: 3.45 MB/s | IP地址: [2a03:b0c0:0:1051::26c5:4000]:443 | 地区: 荷兰
NO.591 | 流媒体网速: 3.45 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:5b55:3001]:443 | 地区: 荷兰
NO.592 | 流媒体网速: 3.45 MB/s | IP地址: [2607:5300:205:200::4d5f]:443 | 地区: 加拿大-魁北克
NO.593 | 流媒体网速: 3.45 MB/s | IP地址: [2a12:bec4:1de0:5e::2]:443 | 地区: 荷兰
NO.594 | 流媒体网速: 3.45 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:fdb1:8000]:443 | 地区: 德国
NO.595 | 流媒体网速: 3.45 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:6aad:c001]:443 | 地区: 荷兰
NO.596 | 流媒体网速: 3.45 MB/s | IP地址: [2603:c021:8006:f500:75a1:a79:cbe4:779]:443 | 地区: 日本
NO.597 | 流媒体网速: 3.45 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2572:7001]:443 | 地区: 英国
NO.598 | 流媒体网速: 3.44 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:6aae:1]:443 | 地区: 荷兰
NO.599 | 流媒体网速: 3.42 MB/s | IP地址: [2a03:b0c0:3:f0:0:2:ebc:4000]:443 | 地区: 德国
NO.600 | 流媒体网速: 3.42 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:6041:c001]:443 | 地区: 荷兰
NO.601 | 流媒体网速: 3.42 MB/s | IP地址: [2a03:f80:491:2970::1]:443 | 地区: 荷兰
NO.602 | 流媒体网速: 3.41 MB/s | IP地址: [2a03:b0c0:0:1051::25d0:9000]:443 | 地区: 荷兰
NO.603 | 流媒体网速: 3.41 MB/s | IP地址: [2a0e:d600:0:170::2]:8443 | 地区: 奥地利
NO.604 | 流媒体网速: 3.41 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:4dd8:c001]:443 | 地区: 英国
NO.605 | 流媒体网速: 3.40 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:f7ff:8000]:443 | 地区: 德国
NO.606 | 流媒体网速: 3.40 MB/s | IP地址: [2a12:bec4:1480:4b9::2]:8443 | 地区: 德国
NO.607 | 流媒体网速: 3.39 MB/s | IP地址: [2603:c023:6:1720:6ab6:c3fd:704b:4111]:443 | 地区: 日本-大阪
NO.608 | 流媒体网速: 3.39 MB/s | IP地址: [2400:8500:2002:3323:163:44:124:82]:443 | 地区: 日本-福冈
NO.609 | 流媒体网速: 3.39 MB/s | IP地址: [2a03:b0c0:0:1051::243f:f000]:443 | 地区: 荷兰
NO.610 | 流媒体网速: 3.39 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:288b:1]:443 | 地区: 英国
NO.611 | 流媒体网速: 3.38 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2b2a:9001]:443 | 地区: 英国
NO.612 | 流媒体网速: 3.38 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2587:c001]:443 | 地区: 英国
NO.613 | 流媒体网速: 3.38 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:fdde:5000]:443 | 地区: 德国
NO.614 | 流媒体网速: 3.38 MB/s | IP地址: [2400:8d60:4::1:6f03:fc98]:8443 | 地区: 德国
NO.615 | 流媒体网速: 3.38 MB/s | IP地址: [2a03:b0c0:0:1051::29e8:d000]:443 | 地区: 荷兰
NO.616 | 流媒体网速: 3.38 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:fd66:1000]:443 | 地区: 德国
NO.617 | 流媒体网速: 3.37 MB/s | IP地址: [2a02:c204:3019:1165::1]:443 | 地区: 英国
NO.618 | 流媒体网速: 3.37 MB/s | IP地址: [2a0d:d940:1a:f38::2]:8443 | 地区: 德国
NO.619 | 流媒体网速: 3.37 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:60a9:2001]:443 | 地区: 荷兰
NO.620 | 流媒体网速: 3.36 MB/s | IP地址: [2a03:b0c0:0:1051::26c5:b000]:443 | 地区: 荷兰
NO.621 | 流媒体网速: 3.36 MB/s | IP地址: [2a03:b0c0:0:1051::2404:c000]:443 | 地区: 荷兰
NO.622 | 流媒体网速: 3.36 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:3ef3:5001]:443 | 地区: 英国
NO.623 | 流媒体网速: 3.36 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:396b:1001]:443 | 地区: 英国
NO.624 | 流媒体网速: 3.36 MB/s | IP地址: [2a0b:4142:11c8::2]:8443 | 地区: 德国
NO.625 | 流媒体网速: 3.35 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:26e3:8001]:443 | 地区: 英国
NO.626 | 流媒体网速: 3.34 MB/s | IP地址: [2a01:ecc0:1004:9c00::2]:443 | 地区: 荷兰
NO.627 | 流媒体网速: 3.34 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2b62:a001]:443 | 地区: 英国
NO.628 | 流媒体网速: 3.34 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2b62:f001]:443 | 地区: 英国
NO.629 | 流媒体网速: 3.34 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2b8b:6001]:443 | 地区: 英国
NO.630 | 流媒体网速: 3.34 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:5f95:e001]:443 | 地区: 荷兰
NO.631 | 流媒体网速: 3.33 MB/s | IP地址: [2a03:b0c0:3:f0:0:2:db4a:9000]:443 | 地区: 德国
NO.632 | 流媒体网速: 3.33 MB/s | IP地址: [2a13:9500:126:0:f8d7:4fa3:6cb3:1]:443 | 地区: 荷兰
NO.633 | 流媒体网速: 3.32 MB/s | IP地址: [2001:41d0:404:200::3fb6]:443 | 地区: 德国
NO.634 | 流媒体网速: 3.31 MB/s | IP地址: [2603:c022:8011:a2ef:f2c7:e7bc:45ec:d1d8]:443 | 地区: 韩国
NO.635 | 流媒体网速: 3.28 MB/s | IP地址: [2a13:36c0:1ff:1241::1]:443 | 地区: 荷兰
