改版后新加坡--------------
 NO.1 | 流媒体网速: 2.17 MB/s | IP地址: 178.128.90.108:443 | 地区:   
 NO.143 | 网速: 2.21 MB/s | IP地址: 202.61.72.83:443 | 地区:   
 NO.144 | 网速: 2.20 MB/s | IP地址: 50.114.59.221:8443 | 地区:   
 NO.145 | 网速: 2.17 MB/s | IP地址: 91.110.209.63:443 | 地区:   
 NO.146 | 网速: 2.16 MB/s | IP地址: 156.224.76.166:443 | 地区:   
 NO.147 | 网速: 2.15 MB/s | IP地址: 154.3.35.193:2083 | 地区:   
 NO.148 | 网速: 2.14 MB/s | IP地址: 43.255.157.65:443 | 地区:   
 NO.149 | 网速: 2.14 MB/s | IP地址: 191.223.212.202:443 | 地区:   
 NO.150 | 网速: 2.12 MB/s | IP地址: 154.12.188.161:443 | 地区:   
 NO.151 | 网速: 2.12 MB/s | IP地址: 210.3.205.168:443 | 地区:   
 NO.152 | 网速: 2.10 MB/s | IP地址: 103.158.117.179:443 | 地区:   
 NO.153 | 网速: 2.9 MB/s | IP地址: 43.247.132.74:2053 | 地区:   
 NO.154 | 网速: 2.9 MB/s | IP地址: 103.193.173.77:2053 | 地区:   
 NO.155 | 网速: 2.8 MB/s | IP地址: 149.104.30.51:443 | 地区:   
 NO.156 | 网速: 2.6 MB/s | IP地址: 91.110.174.202:8443 | 地区:   
 NO.157 | 网速: 2.4 MB/s | IP地址: 85.121.51.14:2096 | 地区:   
 NO.158 | 网速: 2.4 MB/s | IP地址: 155.254.122.235:8443 | 地区:   
 NO.159 | 网速: 2.1 MB/s | IP地址: 85.121.51.205:443 | 地区:   
 NO.160 | 网速: 2.0 MB/s | IP地址: 143.20.156.116:443 | 地区:   
 NO.161 | 网速: 1.98 MB/s | IP地址: 154.12.178.224:443 | 地区:   
 NO.162 | 网速: 1.97 MB/s | IP地址: 103.74.192.178:443 | 地区:  

德国高峰值.....1

NO.1 | 网速: 2.63 MB/s | IP地址: 88.218.193.1:443 | 地区:   
 NO.2 | 网速: 2.59 MB/s | IP地址: 8.134.218.35:443 | 地区:   
 NO.3 | 网速: 2.52 MB/s | IP地址: 45.147.48.115:2053 | 地区:   
 NO.4 | 网速: 2.50 MB/s | IP地址: 45.147.49.242:443 | 地区:   
 NO.5 | 网速: 2.47 MB/s | IP地址: 188.95.70.156:443 | 地区:   
 NO.6 | 网速: 2.44 MB/s | IP地址: 64.118.159.219:443 | 地区:   
 NO.7 | 网速: 2.40 MB/s | IP地址: 178.22.26.117:443 | 地区:   
 NO.8 | 网速: 2.27 MB/s | IP地址: 91.98.33.75:8443 | 地区:   
 NO.9 | 网速: 2.25 MB/s | IP地址: 178.105.196.80:443 | 地区:   
 NO.10 | 网速: 2.24 MB/s | IP地址: 91.107.157.255:2096 | 地区:   
 NO.11 | 网速: 2.23 MB/s | IP地址: 159.69.123.231:8443 | 地区:   
 NO.12 | 网速: 2.23 MB/s | IP地址: 128.140.32.214:8443 | 地区:   
 NO.13 | 网速: 2.20 MB/s | IP地址: 178.104.113.184:8443 | 地区:   
 NO.14 | 网速: 2.20 MB/s | IP地址: 128.140.69.244:2053 | 地区:   
 NO.15 | 网速: 2.19 MB/s | IP地址: 138.199.144.252:8443 | 地区:   
 NO.16 | 网速: 2.18 MB/s | IP地址: 57.129.81.233:2053 | 地区:   
 NO.17 | 网速: 2.18 MB/s | IP地址: 188.241.241.20:2053 | 地区:   
 NO.18 | 网速: 2.18 MB/s | IP地址: 167.235.65.225:8443 | 地区:   
 NO.19 | 网速: 2.14 MB/s | IP地址: 45.147.48.93:443 | 地区:   
 NO.20 | 网速: 2.11 MB/s | IP地址: 188.95.70.132:2053 | 地区:   
 NO.21 | 网速: 2.7 MB/s | IP地址: 88.198.240.69:2053 | 地区:   
 NO.22 | 网速: 2.2 MB/s | IP地址: 49.12.213.163:8443 | 地区:   
 NO.23 | 网速: 2.0 MB/s | IP地址: 91.98.161.89:2053 | 地区:   
 NO.24 | 网速: 1.99 MB/s | IP地址: 91.107.189.32:443 | 地区:   
 NO.25 | 网速: 1.98 MB/s | IP地址: 91.107.243.112:2053 | 地区:   
 NO.26 | 网速: 1.98 MB/s | IP地址: 178.104.145.65:443 | 地区:   
 NO.27 | 网速: 1.97 MB/s | IP地址: 128.140.69.244:443 | 地区:   
 NO.28 | 网速: 1.96 MB/s | IP地址: 46.225.107.73:443 | 地区:   
 NO.29 | 网速: 1.96 MB/s | IP地址: 116.202.14.249:8443 | 地区:   
 NO.30 | 网速: 1.95 MB/s | IP地址: 135.125.202.69:8443 | 地区:   
 NO.31 | 网速: 1.95 MB/s | IP地址: 91.99.161.159:443 | 地区:   
 NO.32 | 网速: 1.93 MB/s | IP地址: 91.99.222.152:443 | 地区:   
 NO.33 | 网速: 1.91 MB/s | IP地址: 157.90.123.229:443 | 地区:   
 NO.34 | 网速: 1.88 MB/s | IP地址: 49.13.8.121:443 | 地区:   
 NO.35 | 网速: 1.88 MB/s | IP地址: 178.104.143.104:443 | 地区:   
 NO.36 | 网速: 1.85 MB/s | IP地址: 5.75.204.75:8443 | 地区:   
 NO.37 | 网速: 1.84 MB/s | IP地址: 162.55.187.121:8443 | 地区:   
 NO.38 | 网速: 1.80 MB/s | IP地址: 88.198.82.156:443 | 地区:   
 NO.39 | 网速: 1.78 MB/s | IP地址: 82.117.245.166:443 | 地区:   
 NO.40 | 网速: 1.75 MB/s | IP地址: 46.225.123.121:8443 | 地区:   
 NO.41 | 网速: 1.74 MB/s | IP地址: 54.37.204.252:2053 | 地区:   
 NO.42 | 网速: 1.74 MB/s | IP地址: 135.125.159.211:8443 | 地区:   
 NO.43 | 网速: 1.73 MB/s | IP地址: 57.129.118.191:2053 | 地区:   
 NO.44 | 网速: 1.72 MB/s | IP地址: 88.198.82.148:443 | 地区:   
 NO.45 | 网速: 1.71 MB/s | IP地址: 178.104.70.11:443 | 地区:   
 NO.46 | 网速: 1.69 MB/s | IP地址: 178.104.73.80:443 | 地区:   
 NO.47 | 网速: 1.69 MB/s | IP地址: 94.130.132.132:8443 | 地区:   
 NO.48 | 网速: 1.69 MB/s | IP地址: 162.55.177.61:2083 | 地区:   
 NO.49 | 网速: 1.68 MB/s | IP地址: 78.47.238.86:8443 | 地区:   
 NO.50 | 网速: 1.65 MB/s | IP地址: 178.104.157.49:443 | 地区:   
 NO.51 | 网速: 1.63 MB/s | IP地址: 91.99.9.125:8443 | 地区:   
 NO.52 | 网速: 1.62 MB/s | IP地址: 141.95.41.46:443 | 地区:   
 NO.53 | 网速: 1.61 MB/s | IP地址: 82.117.245.166:2053 | 地区:   
 NO.54 | 网速: 1.55 MB/s | IP地址: 57.129.4.92:443 | 地区:  
 
改版后法国-----------------------

 NO.1 | 流媒体网速: 465 KB/s | IP地址: 185.125.230.128:443 | 地区:   
 NO.2 | 流媒体网速: 462 KB/s | IP地址: 45.14.165.234:443 | 地区:   
 NO.3 | 流媒体网速: 456 KB/s | IP地址: 31.76.103.14:443 | 地区:   
 NO.4 | 流媒体网速: 452 KB/s | IP地址: 2.27.31.38:443 | 地区:   
 NO.5 | 流媒体网速: 447 KB/s | IP地址: 103.85.114.160:443 | 地区:   
 NO.6 | 流媒体网速: 443 KB/s | IP地址: 5.183.253.112:443 | 地区:   
 NO.7 | 流媒体网速: 441 KB/s | IP地址: 212.147.249.131:443 | 地区:   
 NO.8 | 流媒体网速: 434 KB/s | IP地址: 2.26.105.147:443 | 地区:   
 NO.9 | 流媒体网速: 427 KB/s | IP地址: 62.60.252.216:443 | 地区:   
 NO.10 | 流媒体网速: 426 KB/s | IP地址: 31.76.55.131:443 | 地区:   
 NO.11 | 流媒体网速: 422 KB/s | IP地址: 2.27.11.51:443 | 地区:   
 NO.12 | 流媒体网速: 421 KB/s | IP地址: 217.60.60.151:443 | 地区:   
 NO.13 | 流媒体网速: 420 KB/s | IP地址: 157.180.125.203:443 | 地区:   
 NO.14 | 流媒体网速: 417 KB/s | IP地址: 2.26.158.78:443 | 地区:   
 NO.15 | 流媒体网速: 416 KB/s | IP地址: 204.168.179.212:443 | 地区:   
 NO.16 | 流媒体网速: 415 KB/s | IP地址: 91.186.210.180:2053 | 地区:   
 NO.17 | 流媒体网速: 414 KB/s | IP地址: 81.177.214.250:443 | 地区:   
 NO.18 | 流媒体网速: 411 KB/s | IP地址: 185.92.183.36:443 | 地区:   
 NO.19 | 流媒体网速: 407 KB/s | IP地址: 144.31.182.64:8443 | 地区:   
 NO.20 | 流媒体网速: 406 KB/s | IP地址: 45.144.53.113:443 | 地区:   
 NO.21 | 流媒体网速: 405 KB/s | IP地址: 46.8.178.47:8443 | 地区:   
 NO.22 | 流媒体网速: 404 KB/s | IP地址: 82.26.171.178:2087 | 地区:   
 NO.23 | 流媒体网速: 402 KB/s | IP地址: 81.19.139.230:8443 | 地区:   
 NO.24 | 流媒体网速: 401 KB/s | IP地址: 194.53.54.226:8443 | 地区:   
 NO.25 | 流媒体网速: 401 KB/s | IP地址: 194.124.210.114:443 | 地区:   
 NO.26 | 流媒体网速: 398 KB/s | IP地址: 135.181.78.188:443 | 地区:   
 NO.27 | 流媒体网速: 397 KB/s | IP地址: 31.76.50.23:2083 | 地区:   
 NO.28 | 流媒体网速: 396 KB/s | IP地址: 150.241.74.241:443 | 地区:   
 NO.29 | 流媒体网速: 395 KB/s | IP地址: 83.97.78.168:2053 | 地区:   
 NO.30 | 流媒体网速: 393 KB/s | IP地址: 65.21.63.225:8443 | 地区:   
 NO.31 | 流媒体网速: 393 KB/s | IP地址: 95.164.55.15:443 | 地区:   
 NO.32 | 流媒体网速: 388 KB/s | IP地址: 83.143.112.17:8443 | 地区:   
 NO.33 | 流媒体网速: 386 KB/s | IP地址: 64.188.107.198:8443 | 地区:   
 NO.34 | 流媒体网速: 384 KB/s | IP地址: 95.81.113.129:443 | 地区:   
 NO.35 | 流媒体网速: 382 KB/s | IP地址: 2.26.158.100:443 | 地区:   
 NO.36 | 流媒体网速: 380 KB/s | IP地址: 95.217.134.247:2053 | 地区:   
 NO.37 | 流媒体网速: 378 KB/s | IP地址: 95.81.126.217:8443 | 地区:   
 NO.38 | 流媒体网速: 377 KB/s | IP地址: 138.124.9.236:443 | 地区:   
 NO.39 | 流媒体网速: 372 KB/s | IP地址: 62.60.252.83:443 | 地区:   
 NO.40 | 流媒体网速: 366 KB/s | IP地址: 87.251.16.237:8443 | 地区:   
 NO.41 | 流媒体网速: 365 KB/s | IP地址: 194.113.38.246:443 | 地区:   
 NO.42 | 流媒体网速: 364 KB/s | IP地址: 31.76.103.69:443 | 地区:   
 NO.43 | 流媒体网速: 362 KB/s | IP地址: 89.125.105.152:8443 | 地区:   
 NO.44 | 流媒体网速: 362 KB/s | IP地址: 2.27.11.47:443 | 地区:   
 NO.45 | 流媒体网速: 359 KB/s | IP地址: 31.76.226.229:443 | 地区:   
 NO.46 | 流媒体网速: 356 KB/s | IP地址: 91.186.221.115:443 | 地区:   
 NO.47 | 流媒体网速: 355 KB/s | IP地址: 31.57.105.51:443 | 地区:   
 NO.48 | 流媒体网速: 355 KB/s | IP地址: 31.76.50.80:8443 | 地区:   
 NO.49 | 流媒体网速: 352 KB/s | IP地址: 178.17.61.156:8443 | 地区:   
 NO.50 | 流媒体网速: 351 KB/s | IP地址: 82.25.185.188:443 | 地区:   
 NO.51 | 流媒体网速: 350 KB/s | IP地址: 87.121.86.93:443 | 地区:   
 NO.52 | 流媒体网速: 348 KB/s | IP地址: 213.165.59.108:443 | 地区:   
 NO.53 | 流媒体网速: 344 KB/s | IP地址: 144.31.7.71:443 | 地区:   
 NO.54 | 流媒体网速: 342 KB/s | IP地址: 95.216.140.177:443 | 地区:   
 NO.55 | 流媒体网速: 340 KB/s | IP地址: 151.241.221.103:443 | 地区:   
 NO.56 | 流媒体网速: 339 KB/s | IP地址: 95.217.129.198:2053 | 地区:   
 NO.57 | 流媒体网速: 339 KB/s | IP地址: 45.67.202.173:443 | 地区:   
 NO.58 | 流媒体网速: 337 KB/s | IP地址: 138.124.244.192:8443 | 地区:   
 NO.59 | 流媒体网速: 336 KB/s | IP地址: 144.31.245.91:2053 | 地区:   
 NO.60 | 流媒体网速: 336 KB/s | IP地址: 2.27.31.242:443 | 地区:   
 NO.61 | 流媒体网速: 336 KB/s | IP地址: 91.186.211.185:443 | 地区:   
 NO.62 | 流媒体网速: 330 KB/s | IP地址: 213.165.58.15:443 | 地区:   
 NO.63 | 流媒体网速: 330 KB/s | IP地址: 95.85.245.175:443 | 地区:   
 NO.64 | 流媒体网速: 327 KB/s | IP地址: 2.27.47.161:8443 | 地区:   
 NO.65 | 流媒体网速: 325 KB/s | IP地址: 62.238.27.158:443 | 地区:   
 NO.66 | 流媒体网速: 325 KB/s | IP地址: 138.124.9.140:443 | 地区:   
 NO.67 | 流媒体网速: 325 KB/s | IP地址: 91.186.223.170:443 | 地区:   
 NO.68 | 流媒体网速: 324 KB/s | IP地址: 185.104.250.9:443 | 地区:   
 NO.69 | 流媒体网速: 320 KB/s | IP地址: 95.85.245.107:8443 | 地区:   
 NO.70 | 流媒体网速: 315 KB/s | IP地址: 89.167.34.172:443 | 地区:   
 NO.71 | 流媒体网速: 315 KB/s | IP地址: 91.205.220.154:443 | 地区:   
 NO.72 | 流媒体网速: 312 KB/s | IP地址: 66.151.35.81:443 | 地区:   
 NO.73 | 流媒体网速: 312 KB/s | IP地址: 31.56.204.117:443 | 地区:   
 NO.74 | 流媒体网速: 311 KB/s | IP地址: 65.21.149.108:8443 | 地区:   
 NO.75 | 流媒体网速: 308 KB/s | IP地址: 31.76.19.206:443 | 地区:   
 NO.76 | 流媒体网速: 307 KB/s | IP地址: 193.163.170.180:443 | 地区:   
 NO.77 | 流媒体网速: 301 KB/s | IP地址: 2.26.124.85:443 | 地区:   
 NO.78 | 流媒体网速: 300 KB/s | IP地址: 144.31.27.118:443 | 地区
